service_id,date,exception_type
44,20130227,1
44,20130228,1
44,20130301,1
44,20130302,1
44,20130304,1
44,20130305,1
44,20130306,1
44,20130307,1
44,20130308,1
44,20130309,1
44,20130422,1
44,20130423,1
44,20130424,1
44,20130425,1
44,20130426,1
44,20130427,1
44,20130429,1
44,20130430,1
44,20130501,1
44,20130502,1
44,20130503,1
44,20130504,1
44,20121101,2
44,20121225,2
44,20130101,2
44,20130501,2
31,20130511,1
31,20130220,1
31,20130417,1
28,20130508,2
28,20130509,2
28,20121221,2
28,20130223,2
28,20130420,2
28,20130401,2
28,20130520,2
28,20121029,2
28,20121030,2
28,20121031,2
28,20121101,2
28,20121102,2
28,20121103,2
28,20121105,2
28,20121106,2
28,20121107,2
28,20121108,2
28,20121109,2
28,20121110,2
28,20121224,2
28,20121225,2
28,20121226,2
28,20121227,2
28,20121228,2
28,20121229,2
28,20121231,2
28,20130101,2
28,20130102,2
28,20130103,2
28,20130104,2
28,20130105,2
28,20130225,2
28,20130226,2
28,20130227,2
28,20130228,2
28,20130301,2
28,20130302,2
28,20130304,2
28,20130305,2
28,20130306,2
28,20130307,2
28,20130308,2
28,20130309,2
28,20130422,2
28,20130423,2
28,20130424,2
28,20130425,2
28,20130426,2
28,20130427,2
28,20130429,2
28,20130430,2
28,20130501,2
28,20130502,2
28,20130503,2
28,20130504,2
36,20130508,1
36,20130509,1
36,20130101,1
36,20130520,1
36,20121101,1
36,20121225,1
36,20121111,1
36,20121118,1
36,20121125,1
36,20121202,1
36,20121209,1
36,20121216,1
36,20121223,1
36,20130106,1
36,20130113,1
36,20130120,1
36,20130127,1
36,20130203,1
36,20130210,1
36,20130217,1
36,20130224,1
36,20130303,1
36,20130310,1
36,20130317,1
36,20130324,1
36,20130331,1
36,20130407,1
36,20130414,1
36,20130421,1
36,20130428,1
36,20130505,1
36,20130512,1
36,20130519,1
36,20130526,1
36,20130602,1
36,20130609,1
36,20130616,1
36,20130623,1
36,20130630,1
36,20121028,2
36,20121223,2
36,20130224,2
36,20130303,2
36,20130310,2
36,20130317,2
36,20130324,2
36,20130331,2
36,20130407,2
36,20130414,2
36,20130421,2
36,20130428,2
7,20130402,1
7,20130521,1
35,20130507,1
35,20121102,2
35,20121109,2
35,20121221,2
35,20121228,2
35,20130104,2
35,20130301,2
35,20130308,2
35,20130426,2
35,20130503,2
48,20121027,2
48,20121103,2
48,20121110,2
48,20121222,2
48,20121229,2
48,20130105,2
48,20130223,2
48,20130302,2
48,20130309,2
48,20130420,2
48,20130427,2
48,20130504,2
33,20130506,1
33,20130507,1
33,20130513,1
33,20130514,1
33,20130515,1
33,20130516,1
33,20130520,1
33,20130521,1
33,20130522,1
33,20130523,1
33,20130527,1
33,20130528,1
33,20130529,1
33,20130530,1
33,20130603,1
33,20130604,1
33,20130605,1
33,20130606,1
33,20130610,1
33,20130611,1
33,20130612,1
33,20130613,1
33,20130617,1
33,20130618,1
33,20130619,1
33,20130620,1
33,20130624,1
33,20130625,1
33,20130626,1
33,20130627,1
33,20130401,2
33,20130520,2
33,20121029,2
33,20121030,2
33,20121031,2
33,20121101,2
33,20121105,2
33,20121106,2
33,20121107,2
33,20121108,2
33,20121224,2
33,20121225,2
33,20121226,2
33,20121227,2
33,20121231,2
33,20130101,2
33,20130102,2
33,20130103,2
33,20130225,2
33,20130226,2
33,20130227,2
33,20130228,2
33,20130304,2
33,20130305,2
33,20130306,2
33,20130307,2
33,20130422,2
33,20130423,2
33,20130424,2
33,20130425,2
33,20130429,2
33,20130430,2
33,20130501,2
33,20130502,2
34,20121101,1
34,20121225,1
34,20130101,1
40,20130501,2
40,20121101,2
40,20130508,2
40,20130509,2
40,20121225,2
40,20130101,2
40,20130401,2
40,20130520,2
53,20121103,2
53,20121110,2
53,20121229,2
53,20130105,2
53,20130223,2
53,20130302,2
53,20130309,2
53,20130420,2
53,20130427,2
53,20130504,2
38,20130401,2
38,20130520,2
39,20130501,2
39,20121101,2
39,20130508,2
39,20130509,2
39,20121225,2
39,20130101,2
37,20121103,1
37,20121110,1
37,20121229,1
37,20130105,1
37,20130302,1
37,20130309,1
37,20130427,1
37,20120901,1
37,20130504,1
17,20121111,1
17,20130508,1
17,20130509,1
17,20130501,1
17,20130401,1
17,20121225,1
17,20130101,1
17,20121101,1
17,20130520,1
8,20130501,2
8,20121101,2
8,20130508,2
8,20130509,2
8,20121225,2
8,20130101,2
8,20130401,2
8,20130520,2
41,20121111,2
59,20121031,1
59,20130430,1
59,20130507,1
63,20121107,1
63,20121226,1
63,20130102,1
63,20130227,1
63,20130306,1
63,20121031,1
63,20130424,1
62,20121101,2
62,20130509,2
62,20121225,2
62,20130101,2
62,20130401,2
62,20130520,2
58,20130402,1
58,20130521,1
58,20130403,1
58,20130522,1
58,20130403,2
58,20130522,2
42,20121101,2
42,20130509,2
42,20121225,2
42,20130101,2
42,20130401,2
42,20130520,2
45,20121224,1
45,20121225,1
45,20121226,1
45,20121227,1
45,20121228,1
45,20121229,1
45,20121231,1
45,20130101,1
45,20130102,1
45,20130103,1
45,20130104,1
45,20130105,1
45,20130107,1
45,20130108,1
45,20130109,1
45,20130110,1
45,20130111,1
45,20130112,1
45,20130114,1
45,20130115,1
45,20130116,1
45,20130117,1
45,20130118,1
45,20130119,1
45,20130121,1
45,20130122,1
45,20130123,1
45,20130124,1
45,20130125,1
45,20130126,1
45,20130128,1
45,20130129,1
45,20130130,1
45,20130131,1
45,20130201,1
45,20130202,1
45,20130204,1
45,20130205,1
45,20130206,1
45,20130207,1
45,20130208,1
45,20130209,1
45,20130211,1
45,20130212,1
45,20130213,1
45,20130214,1
45,20130215,1
45,20130216,1
45,20130218,1
45,20130219,1
45,20130220,1
45,20130221,1
45,20130222,1
45,20130223,1
45,20130225,1
45,20130226,1
45,20130227,1
45,20130228,1
45,20130301,1
45,20130302,1
45,20130304,1
45,20130305,1
45,20130306,1
45,20130307,1
45,20130308,1
45,20130309,1
45,20130311,1
45,20130312,1
45,20130313,1
45,20130314,1
45,20130315,1
45,20130316,1
45,20130318,1
45,20130319,1
45,20130320,1
45,20130321,1
45,20130322,1
45,20130323,1
45,20130325,1
45,20130326,1
45,20130327,1
45,20130328,1
45,20130329,1
45,20130330,1
45,20130401,1
45,20130402,1
45,20130403,1
45,20130404,1
45,20130405,1
45,20130406,1
45,20130408,1
45,20130409,1
45,20130410,1
45,20130411,1
45,20130412,1
45,20130413,1
