stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:LIL773,"Les Pierres Couchées",,47.20503534,-2.15353151,,,1,
StopArea:LIL1295,"Les Cigales",,0,0,,,1,
StopArea:LIL1226,"Les Rochelets",,47.21607284,-2.15501985,,,1,
StopArea:LIL917,"Saint-Brévin l'Océan",,47.23095256,-2.17567559,,,1,
StopArea:LIL165,"La Courance",,47.23837306,-2.16938842,,,1,
StopArea:LIL281,"Pôle de Bresse",,47.24789543,-2.16230932,,,1,
StopArea:LIL925,"Chêne Bonnet",,47.27746789,-2.06462743,,,1,
StopArea:LIL248,"Mindin",,47.26549089,-2.16786692,,,1,
StopArea:LIL237,"Maison départementale",,47.26755204,-2.159137,,,1,
StopArea:LIL926,"Le Tertre",,47.26852813,-2.11508523,,,1,
StopArea:LIL79,"Centre",,47.27752117,-2.05916851,,,1,
StopArea:LIL352,"Square Kerbez",,47.28828805,-2.02992642,,,1,
StopArea:LIL787,"Quai",,47.2888159,-2.0273428,,,1,
StopArea:LIL898,"Café de l'avenir",,47.28650597,-2.01826883,,,1,
StopArea:LIL221,"Louise Michèle",,47.28665891,-2.02570325,,,1,
StopArea:LIL150,"Kuhlman",,47.28322549,-2.01609464,,,1,
StopArea:LIL894,"Plein Air",,47.27674571,-2.01191308,,,1,
StopArea:LIL231,"Mairie",,47.25609429,-2.01883587,,,1,
StopArea:LIL899,"Stade-La Fuie",,47.24735514,-1.94609975,,,1,
StopArea:LIL282,"Place de Gaulle",,47.24470414,-1.93609238,,,1,
StopArea:LIL942,"La Jarriais",,47.22008265,-2.09526447,,,1,
StopArea:LIL941,"Les Pilorgères",,47.22071279,-2.07082512,,,1,
StopArea:LIL944,"La Giraudière",,47.21459256,-2.05412221,,,1,
StopArea:LIL230,"Mairie",,47.20549753,-2.04407161,,,1,
StopArea:LIL779,"Ennerie",,47.19446711,-2.02061681,,,1,
StopArea:LIL182,"La Sicaudais",,47.18735013,-1.94740929,,,1,
StopArea:LIL786,"La Fosse des Prés",,47.1986734,-1.90629771,,,1,
StopArea:LIL785,"Route de Paimboeuf",,47.19914748,-1.88730909,,,1,
StopArea:LIL383,"Centre",,47.19970444,-1.87742484,,,1,
StopArea:LIL314,"Centre",,47.18554515,-1.86082011,,,1,
StopArea:LIL1270,"Messan",,47.19017663,-1.85611084,,,1,
StopArea:LIL64,"Centre",,47.18137108,-1.81502273,,,1,
StopArea:LIL772,"Chaussée le Retz",,47.19368794,-1.85129276,,,1,
